Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
RU,Россия,,Волгоград,Лента новостей,,Коммерсант,Коммерсант волгоград,http://www.kommersant.ru/rss/regions/volgograd.xml
RU,Россия,,Воронеж,Лента новостей,,Коммерсант,Коммерсант Воронеж,http://www.kommersant.ru/rss/regions/vrn.xml
RU,Россия,,Екатеринбург,Лента новостей,,Коммерсант,Коммерсант урал,http://www.kommersant.ru/rss/regions/ekaterinburg.xml
RU,Россия,,Иркутск,Лента новостей,,Коммерсант,Коммерсант Иркутск,http://www.kommersant.ru/rss/regions/irkutsk.xml
RU,Россия,,Казань,Лента новостей,,Коммерсант,Коммерсант Казань,http://www.kommersant.ru/rss/regions/kazan.xml
RU,Россия,,Красноярск,Лента новостей,,Коммерсант,Коммерсант Сибирь,http://www.kommersant.ru/rss/regions/krasnoyarsk.xml
RU,Россия,,Нижний Новгород,Лента новостей,,Коммерсант,Коммерсант нижний,http://www.kommersant.ru/rss/regions/nnov.xml
RU,Россия,,Новосибирск,Лента новостей,,Коммерсант,Коммерсант Сибирь,http://www.kommersant.ru/rss/regions/novosibirsk.xml
RU,Россия,,Омск,Лента новостей,,Коммерсант,Коммерсант Сибирь,http://www.kommersant.ru/rss/regions/omsk.xml
RU,Россия,,Пермь,Лента новостей,,Коммерсант,Коммерсант Пермь,http://www.kommersant.ru/rss/regions/perm.xml
RU,Россия,,Ростов-на-Дону,Лента новостей,,Коммерсант,Коммерсант Ростов,http://www.kommersant.ru/rss/regions/rostov.xml
RU,Россия,,Самара,Лента новостей,,Коммерсант,Коммерсант поволжье,http://www.kommersant.ru/rss/regions/samara.xml
RU,Россия,,Саратов,Лента новостей,,Коммерсант,Коммерсант Саратов,http://www.kommersant.ru/rss/regions/saratov.xml
RU,Россия,,Уфа,Лента новостей,,Коммерсант,Коммерсант Уфа,http://www.kommersant.ru/rss/regions/ufa.xml
RU,Россия,,Хабаровск,Лента новостей,,Коммерсант,Коммерсант Хабаровск,http://www.kommersant.ru/rss/regions/khabarovsk.xml
RU,Россия,,Чебоксары,Лента новостей,,Коммерсант,Коммерсант Чебоксары,http://www.kommersant.ru/rss/regions/cheboksary.xml
RU,Россия,,,Лента новостей,,lenta.ru,Лента ру,http://lenta.ru/rss
RU,Россия,,,Лента новостей,,BBC,бибиси,http://wsrss.bbc.co.uk/russian/index.xml
RU,Россия,,,Лента новостей,,MK,Московский комсомолец,http://www.mk.ru/rss/news/index.xml
RU,Россия,,Санкт-Петербург,Лента новостей,,МР7,МР7,http://www.mr7.ru/rss/
RU,Россия,,,Лента новостей,,Регнум,Регнум,http://www.regnum.ru/rss/index.xml
RU,Россия,,,Лента новостей,,Российская Газета,Российская Газета,http://www.rg.ru/xml/index.xml
RU,Россия,,,Лента новостей,,Google,гугл,http://news.google.ru/news?pz=1&cf=all&ned=ru_ru&hl=ru&output=rss
